typeClass,disorder,medicine,symptom1,symptom2,symptom3,symptom4,symptom5,symptom6,symptom7,symptom8,symptom9,symptom10,symptom11,symptom12,symptom13,symptom14,symptom15,symptom16,symptom17,symptom18,symptom19,symptom20,symptom21,symptom22,symptom23,symptom24,symptom25,symptom26,symptom27,symptom28,symptom29,symptom30,symptom31,symptom32,symptom33,symptom34,symptom35,symptom36,symptom37,symptom38,symptom39,symptom40,symptom41,symptom42,symptom43,symptom44,symptom45,symptom46,symptom47,symptom48,symptom49,symptom50,symptom51,symptom52,symptom53,symptom54,symptom55,symptom56,symptom57,symptom58,symptom59,symptom60,symptom61,symptom62,symptom63,symptom64,symptom65,symptom66,symptom67,symptom68,symptom69,symptom70,symptom71,symptom72,symptom73,symptom74,symptom75,symptom76
Urgent_Ophthalmology_consultation",Age_>50,Headache,Jaw_claudication,Vision_loss,Diplopia,Temporal_artery_abnormality_on_exam,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

7,Cerebral_venous_thrombosis,"Heparin_or
Low_molecular_weight_heparin_(even_in_cases_of_ICH)",Headache_(absent_in_10%),Papilledema,Cranial_nerve_deficit,Seizure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

8,Reversible_cerebral_vasoconstriction_syndrome_(RCVS),"Consult_Neurology_if_suspicious
Supportive_care
Discontinue_vasoactive_agents_if_possible
ICU_necessary_in_severe_cases",Thunderclap_headache_similar_to_SAH_that_is_short-lived_(minutes_to_hours),Occur_multiple_times_over_days_to_weeks,Often_(80%)_have_a_trigger:_exertion_or_emotion,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

9,Acute_angle_closure_glaucoma,"Initiate_the_following
immediately:

Topical_B-blocker_(eg,_Timolol_0.5%)
Alpha-2-agonist_(eg,_Brimonidine_0.1%)
Prostaglandin_analog_(eg,_Latanoprost_0.005%)
Carbonic_anhydrase_inhibitors_(eg,_dorzolamide_2%)
3_rounds_q15_min
Consult_Ophthalmology_immediately",Monocular_pain_acute_in_onset,Decreased_vision,Headache,Nausea/vomiting,Eye_redness,Mid-fixed_dilated_pupil_with_?steamy_cornea?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

10,Idiopathic_intracranial_Hypertension_(IIH),"If_precipitous_vision_loss,_contact_Neurology,_as_surgery_may_be_indicated
Serial_lumbar_punctures_(LPs)/IV_steroids
Acetazolamide_long-term_(managed_by_neurology)",Double_vision,Flashes_of_vision,Overweight_female,Papilledema,CN_VI_palsy,Pulsatile_tinnitus,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

11,Bacterial_meningitis,"Steroids
IV_antibiotics
Consider_acyclovir_if_concerned_for_HSV",Ill_appearance,Fever,Headache,Nuchal_rigidity,Altered_mental_status,Immunocompromised,Petechiae/purpura,Seizure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

12,Viral_encephalitis,"IV_acyclovir_10_mg/kg_(renally_dosed_in_those_with_renal_impairment)
Treat_seizures_aggressively",Confusion,Headache,Fever,Nausea_and_vomiting,Depressed_level_of_consciousness,seizure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

13,Carbon_monoxide_poisoning,"Oxygen_by_non-rebreather

Hyperbaric_oxygen_chamber_for:

Carboxyhemoglobin_>25%_(pregnant_>15%)
Neurologic_findings",Confusion_neurologic_deficits,Blurry_vision,Nausea_and_vomiting,Peripheral_cyanosis,Syncope,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

14,Posterior_reversible_encephalopathy_syndrome_(PRES),"Decrease_MAP_by_25%
Antiepileptics_typically_required
May_require_ICU_management",Elevated_blood_pressures,Altered_level_of_consciousness,Visual_disturbances,Seizures,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

15,Pre-eclampsia,"BP_control_with_hydralazine_5_mg_IV_OR_labetalol_10_mg_IV_OR_nifedipine_10_mg_PO
If_seizure_(eclampsia):_IV_Magnesium_in_4-6_g_load_IV_over_5_min_and_then_1-2_g/h",Over_20_weeks_gestation_or_postpartum,BP_>140/90_with_proteinuria,"Severe_preeclampsia_features:
Thrombocytopenia",Renal_insufficiency,Impaired_liver_function,Pulmonary_edema,Neurological_symptoms:_Headache_or_vision_change,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

16,Undifferentiated_Shock,"Place_the_patient_on_continuous_cardiac_and_oxygen_saturation_monitoring,
Administer_supplemental_oxygen_targeting_an_oxygen_saturation_(SpO2)_of_>94%._When_feasible,_reduce_the_FiO2_to_<0.6
Obtain_two_14-_to_18-gauge_peripheral_intravenous_lines,
Administer_intravenous_isotonic_crystalloid_(eg,_Ringer_lactate)_30_mL/kg_as_an_intravenous_bolus_over_30_minutes_(unless_signs_of_pulmonary_edema,_massive_pulmonary_embolism,_or_cardiogenic_shock_are_observed),
Consider_early_initiation_of_vasopressor_medications_to_provide_an_adequate_perfusion_pressure,
Vasopressors_and_inotropes,
Administer_vasopressor_therapy_if_signs_of_hypoperfusion_persist_despite_adequate_fluid_resuscitation_or_if_pulmonary_edema_is_detected_on_exam_or_point-of-care_ultrasound,
Vasopressor_therapy_can_be_started_in_conjunction_with_the_initial_intravenous_fluid_bolus_for_patients_who_are_severely_hypotensive_and_in_peri-cardiac_arrest,
Dosing_and_Common_Side_Effects_of_Vasoactive_Agents_Used_in_Shock,
Norepinephrine,
Norepinephrine_is_the_first-line_vasopressor_for_undifferentiated_shock,_along_with_suspected_septic,_cardiogenic,_and_neurogenic_shock,
Weight-based_dose_is_as_follows:
Dose_range:_0.01?3_?g/kg/minute_as_a_continuous_intravenous_infusion,
Initial_dose:_0.01-0.1_?g/kg/minute_as_a_continuous_intravenous_infusion_(alternative_dosing:_1-10_?g/minute),
Fixed_dose_is_as_follows:
Dose_range:_1-300_?g/minute_as_a_continuous_intravenous_infusion,
Initial_dose:_1-10_?g/minute,
Titrate_every_2-5_minutes_to_hemodynamic_goal_(eg,_mean_arterial_pressure_ò60_mm_Hg),
We_recommend_weight-based_dosing,
A_maximum_dose_has_not_been_well_established_and_is_generally_institution-specific,
Epinephrine,
Epinephrine_may_be_used_as_an_alternative_to_norepinephrine_for_undifferentiated_shock,
Weight-based_dose:_Administer_0.01-0.5_?g/kg/minute_as_a_continuous_intravenous_infusion,
Titrate_every_2-5_minutes_to_hemodynamic_goal_(eg,_mean_arterial_pressure_ò60_mm_Hg),
For_anaphylaxis,_consider_the_following:
Administer_epinephrine_0.3-0.5_mg_intramuscular_(1_mg/mL)_into_the_anterolateral_thigh;_dose_may_be_repeated_every_5-10_minutes,
For_patients_>50_kg,_we_recommend_0.5_mg,
If_the_patient_is_refractory_to_the_above_or_has_ongoing_shock,_we_recommend_a_continuous_intravenous_administration_of_epinephrine,
Vasopressin,
Dose:_Administer_0.03-0.04_units/minute_as_a_continuous_intravenous_infusion_(maximum_rate:_0.06_units/minute),
Vasopressin_may_be_added_for_continued_hypotension_to_augment_norepinephrine_in_septic_shock.
Dobutamine,
Dose:_2-20_?g/kg/minute_as_a_continuous_infusion_(maximum_rate:_20_?g/kg/minute),
Dobutamine_can_be_added_if_low_cardiac_output_is_suspected_(eg,_bedside_echocardiography)_and_in_patients_with_signs_of_ongoing_hypoperfusion_despite_adequate_intravascular_volume_and_vasopressors,
Place_an_order_for_nothing_by_mouth,
Monitor_intake_and_output",Cardiogenic,Acute_coronary_syndrome,Atrial_myxomas,Brady-_or_tachydysrhythmia,Drug/toxin-induced,Heart_failure,Myocarditis,Ruptured_ventricular_aneurysm,Valvular_dysfunction,Ventricular_septal_defects_or_rupture,Distributive,Anaphylaxis,Drug/toxin-induced_(eg,snake_bite),Endocrine_shock_(eg,thyrotoxicosis),Neurogenic_shock,Sepsis,Systemic_inflammatory_response,syndrome_(eg,pancreatitis),Hypovolemic,Non-hemorrhagic_volume_loss,Non-traumatic_hemorrhage,Traumatic_hemorrhage,Obstructive,Acute_right_heart_syndrome,Constrictive_pericarditis,Pericardial_tamponade,Pulmonary_embolism,Restrictive_cardiomyopathy,Severe_pulmonary_hypertension,Tension_pneumothorax,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

17,Hypertensive_emergency,"Ensure_a_patent_airway,_and_supplement_oxygen_as_needed,
Obtain_bilateral,_large-bore_(ie,_18-20_gauge)_peripheral_venous_access,
In_general,_the_goal_of_antihypertensive_therapy_in_the_setting_of_a_hypertensive_emergency_is_to_lower_the_MAP_by_approximately_25%_over_several_minutes_to_an_hour,_depending_on_the_clinical_situation,_in_order_to_prevent_further_end-organ_damage._If_the_patient_remains_stable,_BP_should_be_reduced_further_over_the_next_2_to_6_h._If_this_BP_is_tolerated,_further_gradual_reductions_toward_a_normal_BP_can_be_implemented_over_the_next_24_to_48_h,
PEARLS,
Exceptions_to_these_guidelines_include_aortic_dissection_and_hypertensive_encephalopathy,_both_of_which_require_more_expeditious_BP_reductions,
Consider_arterial_line_placement_for_more_accurate_BP_titration_when_using_parenteral_medications,
Target_BP_reductions_of_no_more_than_25%_in_the_first_hour,
Obtain_expert_consultation_in_cases_where_further_stabilizing_interventions_may_be_necessary_(eg,_neurosurgeon_for_intracranial_hemorrhage)",Obtaining_a_good_history_and_physical_examination_will_guide_you_on_what_organ_is_potentially_being_damaged_in_this_emergency_presentation._Testing_should_then_be_performed_to_evaluate_for_the_presence_of_end_organ_damage,Papilledema,Facial_paresis,Arm/leg_weakness,Abnormal_speech,Elevated_jugular_venous_pressure,Mitral_regurgitation,Hepatojugular_reflux,Abdominal_bruit,Pulmonary_edema,Leg_edema,Hematuria,Decreased_urine_output,Patients_with_hypertensive_emergencies_will_present_with_severely_elevated_BP,with_up_to_16%_of_hypertensive_emergencies_occurring_in_patients_without_a_history_of_hypertension,Basic_diagnostic_evaluation_includes_the_following_investigations:,Basic_chemistry_panel_to_assess_for_acute_renal_insufficiency,An_ECG_and_cardiac_troponin_to_evaluate_for_myocardial_injury,Urinalysis_may_reveal_proteinuria_or_hematuria_in_patients_with_renal_injury,Chest_X-ray_or_bedside_ultrasound_are_useful_for_demonstrating_pulmonary_edema_due_to_left_ventricular_failure,In_patients_with_neurologic_complaints,computed_tomography_(CT)_imaging_of_the_brain_may_demonstrate_hemorrhage_or_ischemia,although_magnetic_resonance_imaging_(MRI)_is_often_needed_for_radiographic_verification_of_posterior_reversible_encephalopathy_syndrome,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

18,Aphthous_Stomatitis,"There_is_no_known_cure_or_treatment_that_effectively_decreases_the_healing_time,_frequency,_or_severity_of_episodes,___
For_symptomatic_treatment,_consider_the_following,
Mild_to_moderate_aphthosis:_Administer_topical_anesthetics,
Adult_dose:_Administer_viscous_lidocaine_2%._Give_15_mL_undiluted_to_be_swished_around_in_the_mouth_and_spit_out_every_3-6_hours_as_needed_for_pain._Do_not_give_more_than_4_doses_per_12_hours_(maximum_dose:_4_mg/kg_or_300_mg),
Pediatric_dose_for_patients_less_than_3_years_of_age:_Administer_viscous_lidocaine_2%._Give_no_more_than_1.2_mL_applied_with_a_cotton_tip_applicator,_not_oral_or_swish_and_spit,_every_4-6_hours_as_needed_for_pain._Do_not_give_more_than_8_doses_per_24_hours_(maximum_dose:_4_mg/kg),
Pediatric_dose_for_patients_3_years_of_age_and_older:_Administer_viscous_lidocaine_2%._Give_3.7-5_mL_undiluted_to_be_swished_around_in_the_mouth_and_spit_out_every_3-6_hours_as_needed._Do_not_give_more_than_4_doses_per_12_hours_(maximum_dose:_4_mg/kg_or_300_mg),
Topical_corticosteroids:_Administer_dexamethasone_elixir_at_0.5_mg/5_mL,_to_be_swished_around_in_the_mouth_and_spit_out_every_12_hours,
Severe_aphthosis:_Administer_prednisone_20-40_mg_by_mouth_every_24_hours_for_4-7_days_in_adults,
We_recommend_consulting_a_pediatrician_if_considering_systemic_corticosteroids_in_children_for_the_treatment_of_apthous_ulcer",Viral,Herpes_simplex_virus,Varicella_zoster_virus,Coxsackievirus,Acute_human_immunodeficiency_virus_infection,Epstein-Barr_virus,Bacterial,Syphilis_(oral_chancre),Tuberculosis,Medication-induced,Stevens-Johnson_syndrome,Toxic_epidermal_necrolysis,Fixed_drug_eruption,Autoimmune,Behcet_syndrome_(oral_and_genital),Crohn_disease,Fever_syndromes,Periodic_fever,aphthosis,pharyngitis,and_adenitis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

19,_Pediatric_Rashes,"Toxic-appearing_children_should_be_treated_for_sepsis_empirically.
Specific_treatments_should_be_guided_by_suspected_etiology.
General_guidelines:
Platelet_transfusion_is_generally_not_indicated_in_pediatric_patients_with_purpuric_rash_and_thrombocytopenia_(ITP,_hemolytic_uremic_syndrome)_unless_other_life-threatening_conditions_are_present_(eg,_significant_bleeding_or_intracranial_hemorrhage).
Oral_acyclovir_can_be_given_empirically_in_well-appearing_patients_with_vesicular_lesions_if_HSV_is_suspected_while_polymerase_chain_reaction_is_pending_(this_does_not_apply_to_infants).
Purpuric/petechial_rashes
Treatment_for_meningococcus:
Antibiotics_should_be_administered_immediately_after_blood_cultures;_do_not_delay_for_LP.
Third-generation_cephalosporin:
Choose_one_of_the_following
Ceftriaxone
Note:_We_recommend_ceftriaxone.
Ceftazidime_can_be_substituted_if_cefotaxime_is_unavailable.
For_patients_with_cephalosporin/penicillin_allergy:
Meropenem
Note:_Has_2%-3%_cross_reactivity_with_true_penicillin_allergy)_or
Chloramphenicol_75-100_mg/kg/day_intravenous_divided_every_6_hours
Prophylaxis_should_be_given_to_close_contacts_regardless_of_immunization_status
High-risk_contacts_include_household_members,_those_in_prolonged_contact_(>8_hours)_in_close_proximity_(<3_feet),_childcare/preschool_members,_and_healthcare_workers_not_wearing_surgical_masks.
Patients_are_infectious_for_up_to_7_days_before_the_onset_of_illness.
Rifampin:
Age_<1_month:_10_mg/kg/day_by_mouth_divided_every_12_hours_for_2_days
Age_>1_month:_20_mg/kg/day_by_mouth_divided_every_12_hours_for_2_days_(maximum_dose_600_mg)
Ceftriaxone:
Age_<15_years:_125_mg_intramuscular_as_a_one-time_dose
Age_>15_years,_give_250_mg_intramuscular_as_a_one-time_dose
Treatment_for_Hemolytic_Uremic_Syndrome_and_TTP:
Administration_of_intravenous_fluids_before_the_development_of_hemolytic_uremic_syndrome_can_reduce_severity._Admit_patients_with_bloody_diarrhea_and_concern_for_inadequate_oral_intake.
Antibiotics_and_antimotility_agents_may_increase_likelihood_of_hemolytic_uremic_syndrome_and_are_not_recommended_for_patients_with_Shiga_toxin-producing_Escherichia_coli_infection.
Unstable_or_actively_bleeding_anemic_patients_may_need_blood_transfusions,_but_transfusion_of_platelets_is_generally_not_recommended_unless_surgical_procedures_are_needed_or_significant_active_bleeding_is_present.
Severe_acute_kidney_injury_may_require_renal_replacement_therapy.
Treatment_for_ITP:
Platelet_transfusion_is_generally_not_indicated_or_beneficial_except_in_cases_of_life-threatening_bleed.
Most_cases_are_self-limited.
In_patients_with_severe_ITP_(platelet_count_<10_to_20_?_109/L)_or_presence_of_bleeding,_urgent_treatment_with_IV_immunoglobulin_or_steroids_is_indicated.
In_less_severe_cases,_follow-up_or_initiation_of_treatment_in_conjunction_with_a_hematologist_is_an_option.
